         396379 function calls (384047 primitive calls) in 4.043 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      541    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
     2143    0.005    0.000    0.008    0.000 _markupbase.py:48(updatepos)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.012    0.012 _parseaddr.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:504(AddressList)
        1    0.000    0.000    0.182    0.182 _policybase.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
       15    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        8    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       15    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.031    0.031 _tokenizer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tokenizer.py:27(HTMLTokenizer)
        1    0.000    0.000    0.067    0.067 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:150(memoize)
        1    0.000    0.000    0.000    0.000 _utils.py:44(MethodDispatcher)
        1    0.000    0.000    0.000    0.000 _utils.py:76(BoundMethodDispatcher)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
    47/11    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       44    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       36    0.000    0.000    0.003    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.000    0.000 abc.py:89(register)
      749    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
        2    0.000    0.000    0.000    0.000 adapters.py:113(__init__)
        2    0.000    0.000    0.000    0.000 adapters.py:146(init_poolmanager)
        1    0.000    0.000    0.000    0.000 adapters.py:203(cert_verify)
        1    0.000    0.000    0.000    0.000 adapters.py:255(build_response)
        1    0.000    0.000    0.001    0.001 adapters.py:292(get_connection)
        1    0.000    0.000    0.011    0.011 adapters.py:3(<module>)
        2    0.000    0.000    0.001    0.000 adapters.py:319(close)
        1    0.000    0.000    0.000    0.000 adapters.py:329(request_url)
        1    0.000    0.000    0.000    0.000 adapters.py:358(add_headers)
        1    0.000    0.000    0.374    0.374 adapters.py:394(send)
        1    0.000    0.000    0.000    0.000 adapters.py:55(BaseAdapter)
        2    0.000    0.000    0.000    0.000 adapters.py:58(__init__)
        1    0.000    0.000    0.000    0.000 adapters.py:84(HTTPAdapter)
        1    0.000    0.000    0.613    0.613 api.py:16(request)
        1    0.000    0.000    0.031    0.031 api.py:3(<module>)
        1    0.000    0.000    0.613    0.613 api.py:64(get)
        1    0.000    0.000    0.000    0.000 auth.py:100(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:108(HTTPDigestAuth)
        1    0.000    0.000    0.000    0.000 auth.py:3(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:72(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:79(HTTPBasicAuth)
        1    0.000    0.000    0.000    0.000 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:122(ActiveFormattingElements)
        1    0.000    0.000    0.000    0.000 base.py:146(TreeBuilder)
        1    0.000    0.000    0.000    0.000 base.py:23(Node)
        1    0.000    0.000    0.005    0.005 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 big5freq.py:43(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:34(Big5Prober)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.020    0.020 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
